label,metric,rank,model,feature_combination,score,plcc,srcc,krcc,rmse,feature_count
TSV,PLCC,1,svr_regressor,combined_U1_S1_V1_U2_S2_V2,0.8797425683159538,0.8797425683159538,0.8574215500670616,0.6746815448426923,0.31575426161054565,1152
TSV,PLCC,2,svr_regressor,combined_S1_V1_S2_V2,0.8762126969426534,0.8762126969426534,0.852003276442482,0.6688466787275985,0.3196256416706438,768
TSV,PLCC,3,svr_regressor,combined_U1_V1_U2_V2,0.8716049984860265,0.8716049984860265,0.8471452811121383,0.6585853624562268,0.3284606759235157,768
TSV,PLCC,4,svr_regressor,level2_U2_S2_V2,0.8662243041630396,0.8662243041630396,0.8321152720917958,0.6507384735428249,0.33285151082780845,384
TSV,PLCC,5,svr_regressor,combined_V1_V2,0.8622156318954578,0.8622156318954578,0.838076573139437,0.6491288553041783,0.33921354854132746,384
TSV,PLCC,6,svr_regressor,level2_U2_V2,0.8592112491518336,0.8592112491518336,0.8271665221783162,0.6373585219340754,0.3432580620164466,256
TSV,PLCC,7,ridge_regressor,combined_U1_V1_U2_V2,0.855000197490311,0.855000197490311,0.8238108527159173,0.6365537128147521,0.3624347472806608,768
TSV,PLCC,8,ridge_regressor,combined_U1_S1_V1_U2_S2_V2,0.850405096981624,0.850405096981624,0.8126075369448281,0.6277008125021961,0.3646214025907771,1152
TSV,PLCC,9,svr_regressor,level1_U1_S1_V1,0.848781918119349,0.848781918119349,0.8222567742344487,0.6402759549916223,0.35069660397638547,768
TSV,PLCC,10,svr_regressor,level2_S2_V2,0.8485317803645216,0.8485317803645216,0.8178465515167674,0.6294110318807581,0.35206479744005986,256
TSV,SRCC,1,svr_regressor,combined_U1_S1_V1_U2_S2_V2,0.8574215500670616,0.8797425683159538,0.8574215500670616,0.6746815448426923,0.31575426161054565,1152
TSV,SRCC,2,svr_regressor,combined_S1_V1_S2_V2,0.852003276442482,0.8762126969426534,0.852003276442482,0.6688466787275985,0.3196256416706438,768
TSV,SRCC,3,svr_regressor,combined_U1_V1_U2_V2,0.8471452811121383,0.8716049984860265,0.8471452811121383,0.6585853624562268,0.3284606759235157,768
TSV,SRCC,4,svr_regressor,combined_V1_V2,0.838076573139437,0.8622156318954578,0.838076573139437,0.6491288553041783,0.33921354854132746,384
TSV,SRCC,5,svr_regressor,level2_U2_S2_V2,0.8321152720917958,0.8662243041630396,0.8321152720917958,0.6507384735428249,0.33285151082780845,384
TSV,SRCC,6,svr_regressor,level2_U2_V2,0.8271665221783162,0.8592112491518336,0.8271665221783162,0.6373585219340754,0.3432580620164466,256
TSV,SRCC,7,ridge_regressor,combined_U1_V1_U2_V2,0.8238108527159173,0.855000197490311,0.8238108527159173,0.6365537128147521,0.3624347472806608,768
TSV,SRCC,8,svr_regressor,level1_U1_S1_V1,0.8222567742344487,0.848781918119349,0.8222567742344487,0.6402759549916223,0.35069660397638547,768
TSV,SRCC,9,svr_regressor,level2_S2_V2,0.8178465515167674,0.8485317803645216,0.8178465515167674,0.6294110318807581,0.35206479744005986,256
TSV,SRCC,10,mlp_regressor,combined_S1_V1_S2_V2,0.817265272161971,0.839405730288247,0.817265272161971,0.6229725589261719,0.3751495233530312,768
TSV,KRCC,1,svr_regressor,combined_U1_S1_V1_U2_S2_V2,0.6746815448426923,0.8797425683159538,0.8574215500670616,0.6746815448426923,0.31575426161054565,1152
TSV,KRCC,2,svr_regressor,combined_S1_V1_S2_V2,0.6688466787275985,0.8762126969426534,0.852003276442482,0.6688466787275985,0.3196256416706438,768
TSV,KRCC,3,svr_regressor,combined_U1_V1_U2_V2,0.6585853624562268,0.8716049984860265,0.8471452811121383,0.6585853624562268,0.3284606759235157,768
TSV,KRCC,4,svr_regressor,level2_U2_S2_V2,0.6507384735428249,0.8662243041630396,0.8321152720917958,0.6507384735428249,0.33285151082780845,384
TSV,KRCC,5,svr_regressor,combined_V1_V2,0.6491288553041783,0.8622156318954578,0.838076573139437,0.6491288553041783,0.33921354854132746,384
TSV,KRCC,6,svr_regressor,level1_U1_S1_V1,0.6402759549916223,0.848781918119349,0.8222567742344487,0.6402759549916223,0.35069660397638547,768
TSV,KRCC,7,svr_regressor,level2_U2_V2,0.6373585219340754,0.8592112491518336,0.8271665221783162,0.6373585219340754,0.3432580620164466,256
TSV,KRCC,8,ridge_regressor,combined_U1_V1_U2_V2,0.6365537128147521,0.855000197490311,0.8238108527159173,0.6365537128147521,0.3624347472806608,768
